Customer,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
DP33625,College,8092,50825,102,0,Personal Auto,SUV,369,Arizona,M
BJ18904,College,3964,14616,106,0,Personal Auto,SUV,575,Arizona,M
TR26615,High School or Below,2497,0,69,0,Corporate Auto,Two-Door Car,272,Oregon,M
ZD44648,College,9656,29504,125,0,Personal Auto,SUV,1224,Arizona,M
QW60568,College,8888,58789,111,0,Corporate Auto,Four-Door Car,215,California,M
XS78545,College,7347,29491,61,0,Personal Auto,Four-Door Car,292,Oregon,F
EU19773,High School or Below,8578,78077,107,2,Personal Auto,Four-Door Car,438,Arizona,F
ZL45417,High School or Below,3467,0,96,0,Personal Auto,Two-Door Car,799,California,F
JS58659,Bachelor,8901,76558,74,0,Special Auto,Four-Door Car,216,Nevada,M
XK84089,Bachelor,2619,78618,66,0,Personal Auto,Two-Door Car,225,California,M
LH91968,Bachelor,8838,82664,114,3,Corporate Auto,SUV,133,Oregon,M
NX63627,Doctor,10127,23053,132,0,Personal Auto,Luxury,780,Oregon,M
ND62955,Bachelor,4633,50250,117,0,Personal Auto,SUV,561,Nevada,M
YQ11786,High School or Below,7796,32169,199,0,Personal Auto,Luxury,785,Oregon,M
TM13955,Master,2993,0,80,0,Corporate Auto,Four-Door Car,286,Washington,M
IA91291,College,7985,99069,66,0,Corporate Auto,Four-Door Car,77,Arizona,F
RO89785,College,3508,20978,98,1,Personal Auto,Four-Door Car,1176,Oregon,M
QW40898,College,2722,17576,71,0,Personal Auto,Four-Door Car,398,Arizona,F
ZD40816,Bachelor,2783,42297,71,0,Personal Auto,Four-Door Car,200,Nevada,M
PD82395,Bachelor,8649,0,115,0,Special Auto,Four-Door Car,824,Arizona,F
NW23827,College,4652,0,63,0,Personal Auto,Four-Door Car,151,California,F
GG61186,Doctor,8395,0,110,0,Personal Auto,Four-Door Car,161,Nevada,F
TB31268,College,8804,48990,74,0,Personal Auto,Four-Door Car,355,Arizona,F
SX98462,College,7155,16916,64,0,Personal Auto,Four-Door Car,377,Oregon,M
OL82456,Bachelor,3954,18375,103,0,Personal Auto,Luxury,535,Oregon,M
DN14211,College,15032,17150,65,0,Personal Auto,Two-Door Car,689,Oregon,M
ZG12619,Bachelor,8257,23815,73,0,Personal Auto,Four-Door Car,424,Washington,F
VH31071,College,9256,21947,118,0,Personal Auto,SUV,566,Arizona,F
SP36555,Bachelor,6507,0,97,0,Personal Auto,Four-Door Car,863,Arizona,M
ME83611,Bachelor,2530,89451,63,0,Personal Auto,Four-Door Car,61,Nevada,F
PH85036,Bachelor,5482,79325,68,0,Corporate Auto,Four-Door Car,251,Washington,F
PE54870,College,4050,88454,101,0,Personal Auto,SUV,308,Oregon,M
DT52189,High School or Below,6326,0,87,0,Personal Auto,Four-Door Car,417,California,F
XN48526,College,2627,20943,69,0,Personal Auto,Four-Door Car,240,California,F
KW52227,Bachelor,7814,51972,66,0,Personal Auto,Four-Door Car,316,California,M
JC98569,College,6314,54408,79,0,Personal Auto,Four-Door Car,288,Oregon,F
BG48083,Bachelor,6386,23751,82,1,Personal Auto,Two-Door Car,586,Nevada,F
PD19551,Bachelor,2537,37612,64,0,Personal Auto,Four-Door Car,307,California,F
BJ13380,Bachelor,5335,91603,69,2,Personal Auto,Four-Door Car,472,Oregon,F
HY25004,High School or Below,4549,0,62,0,Personal Auto,Two-Door Car,639,Arizona,F
WF50693,High School or Below,4836,16450,128,0,Corporate Auto,SUV,871,Oregon,M
MA45099,Bachelor,6478,50864,83,1,Corporate Auto,Four-Door Car,158,Oregon,M
ZC69696,College,35440,74560,110,0,Personal Auto,SUV,528,Arizona,F
VO43359,High School or Below,2404,62488,62,2,Personal Auto,Four-Door Car,200,California,M
OM63954,Bachelor,9264,55837,117,0,Personal Auto,Two-Door Car,741,California,F
GV71044,College,2433,0,66,0,Personal Auto,Two-Door Car,475,Oregon,F
TM79451,College,5367,97742,67,0,Personal Auto,Four-Door Car,67,California,F
PA84292,Bachelor,2452,0,69,0,Personal Auto,Four-Door Car,496,Oregon,F
QX67584,High School or Below,8646,64125,108,0,Personal Auto,SUV,369,Nevada,F
JK90180,College,4340,0,62,0,Personal Auto,Four-Door Car,446,Arizona,M
BH35482,Doctor,4930,70412,61,0,Corporate Auto,Two-Door Car,136,Washington,M
VU84949,Bachelor,5292,0,70,0,Personal Auto,Two-Door Car,336,Washington,F
SF46129,High School or Below,8986,66267,111,0,Personal Auto,Four-Door Car,1093,California,M
OH35544,College,5619,0,82,0,Corporate Auto,Four-Door Car,863,Nevada,F
ZF82387,High School or Below,10340,40882,89,0,Corporate Auto,Two-Door Car,393,Oregon,M
MD40054,High School or Below,6369,34498,83,0,Personal Auto,Two-Door Car,398,Oregon,M
LE96510,High School or Below,2767,0,74,0,Personal Auto,Four-Door Car,355,Oregon,F
MC11907,High School or Below,4831,23228,64,1,Corporate Auto,Four-Door Car,307,California,F
DA57177,College,4282,40864,109,1,Personal Auto,SUV,166,Oregon,F
SU77646,Master,5718,46133,73,0,Personal Auto,Four-Door Car,19,Oregon,M
YZ19736,College,2580,46900,66,0,Personal Auto,Four-Door Car,316,Arizona,M
JZ69749,High School or Below,6481,0,92,0,Personal Auto,Four-Door Car,441,Washington,F
BJ22117,Master,5133,53390,64,0,Personal Auto,Four-Door Car,278,Washington,M
UQ60825,College,9369,99185,115,0,Corporate Auto,SUV,449,California,F
ZZ89380,Bachelor,3196,62815,80,0,Special Auto,Two-Door Car,47,Oregon,F
LU87443,College,4720,26277,61,0,Personal Auto,Four-Door Car,292,Oregon,F
DG33206,Doctor,8861,41854,110,0,Personal Auto,Four-Door Car,481,Washington,F
AB98823,College,6032,0,86,0,Personal Auto,Two-Door Car,412,Arizona,M
MS34991,High School or Below,6832,66627,85,0,Personal Auto,Four-Door Car,733,Arizona,M
EE53627,High School or Below,2242,12131,64,1,Personal Auto,Four-Door Car,251,Oregon,M
XY39691,High School or Below,4157,0,110,0,Personal Auto,SUV,528,Arizona,F
ZU96776,Bachelor,6189,0,90,0,Personal Auto,Two-Door Car,648,California,M
FF84784,College,5643,33317,72,1,Personal Auto,Two-Door Car,345,California,M
QT90140,Doctor,5332,68931,66,0,Personal Auto,Four-Door Car,309,Arizona,F
TO71844,College,2121,0,67,1,Personal Auto,Four-Door Car,321,Oregon,M
HV69023,High School or Below,8281,19189,108,0,Personal Auto,SUV,518,California,F
RE32481,Master,7835,49390,195,0,Personal Auto,Luxury,738,California,F
CA79988,College,2552,33124,67,0,Personal Auto,Four-Door Car,80,Oregon,M
DO48071,College,2795,40516,70,0,Personal Auto,Two-Door Car,137,California,F
MW48891,High School or Below,8007,0,112,0,Personal Auto,Luxury,537,Washington,F
JC37277,College,6886,34615,87,0,Personal Auto,Four-Door Car,417,Oregon,M
YU80673,College,5106,29894,72,4,Personal Auto,Four-Door Car,16,California,F
BV69462,Bachelor,5612,0,79,0,Corporate Auto,Two-Door Car,379,Oregon,F
DW86238,High School or Below,5658,0,84,0,Personal Auto,Four-Door Car,847,Washington,M
BQ51616,High School or Below,7263,86732,180,0,Personal Auto,Luxury,204,Oregon,F
XX89213,Master,8712,68516,216,0,Corporate Auto,Luxury,95,Nevada,F
JC96695,Doctor,9198,31562,115,0,Personal Auto,SUV,552,California,M
RN55306,High School or Below,5162,0,74,0,Personal Auto,Four-Door Car,582,Oregon,F
WH36609,Bachelor,6289,24477,79,0,Personal Auto,Four-Door Car,379,Arizona,F
UO43395,Master,3649,0,100,0,Personal Auto,SUV,480,Oregon,M
DS32060,College,6766,20046,87,0,Personal Auto,Two-Door Car,417,California,M
LK51056,Bachelor,4631,78152,114,0,Corporate Auto,SUV,547,Arizona,M
PX71218,Bachelor,6810,0,65,0,Personal Auto,Four-Door Car,733,Arizona,M
NS19456,College,9378,36067,117,0,Personal Auto,Luxury,561,Oregon,F
MR60878,Bachelor,15762,44362,66,0,Corporate Auto,Four-Door Car,142,Oregon,F
MB32944,Master,2635,77350,66,0,Personal Auto,Four-Door Car,316,Nevada,M
FE70473,College,5741,86641,71,0,Personal Auto,Two-Door Car,161,Oregon,F
XB64251,College,8414,72258,105,0,Personal Auto,SUV,12,Oregon,M
WI38796,Bachelor,9123,70737,114,0,Corporate Auto,SUV,741,Oregon,M
KS12294,Bachelor,15994,0,159,0,Personal Auto,SUV,1410,California,M
US89453,College,9022,0,125,0,Personal Auto,SUV,988,California,M
XK39439,College,4759,0,81,3,Personal Auto,Four-Door Car,388,California,M
VJ71087,Bachelor,3993,17672,110,0,Personal Auto,SUV,792,Arizona,M
FM54600,High School or Below,18853,0,173,0,Corporate Auto,SUV,1245,Washington,F
UV43859,High School or Below,8840,47297,115,4,Personal Auto,SUV,796,Oregon,F
JP28293,Doctor,6696,57240,83,0,Corporate Auto,Four-Door Car,83,California,F
UV48189,Bachelor,8476,28181,109,0,Personal Auto,SUV,523,California,M
ZA34848,Bachelor,5205,31275,66,0,Personal Auto,Two-Door Car,316,Arizona,F
FA57012,College,6141,0,182,0,Special Auto,Luxury,1310,California,M
GU82757,Bachelor,4376,63774,111,0,Corporate Auto,Four-Door Car,60,California,F
KW12214,High School or Below,12375,78441,103,0,Personal Auto,SUV,613,Oregon,M
EG97649,College,3451,0,104,2,Personal Auto,SUV,499,Oregon,F
YB42706,College,8107,0,76,0,Corporate Auto,Two-Door Car,364,Nevada,M
WV74449,College,8662,0,117,0,Personal Auto,SUV,511,Washington,F
AZ77669,High School or Below,8696,91423,109,1,Personal Auto,SUV,435,Oregon,M
FM25704,Bachelor,2535,86933,63,0,Corporate Auto,Two-Door Car,269,Oregon,M
UR34922,Doctor,5633,65255,72,2,Personal Auto,Four-Door Car,321,California,M
RA17555,High School or Below,5176,41533,65,0,Corporate Auto,Four-Door Car,232,Oregon,M
AW71157,College,5531,50097,71,0,Personal Auto,Four-Door Car,17,California,M
IN91592,Bachelor,2810,73858,72,3,Personal Auto,Four-Door Car,422,California,F
WX37953,College,2780,94943,69,0,Personal Auto,Four-Door Car,387,Oregon,F
NL85206,College,2572,72685,68,5,Personal Auto,Four-Door Car,14,California,F
PR23514,College,7664,60184,199,1,Personal Auto,Luxury,161,California,M
XZ23352,High School or Below,3839,0,106,0,Corporate Auto,SUV,763,California,F
MX80067,High School or Below,2509,74045,64,0,Personal Auto,Four-Door Car,307,California,M
HR10835,High School or Below,14566,52564,122,0,Personal Auto,SUV,42,Nevada,M
FR15942,Bachelor,3220,19098,87,0,Personal Auto,Two-Door Car,417,Washington,M
GX22886,College,3199,78784,80,0,Personal Auto,Four-Door Car,239,Arizona,M
HQ70429,College,16045,0,65,0,Personal Auto,Two-Door Car,163,Washington,F
YT84266,College,4918,29256,63,0,Personal Auto,Four-Door Car,302,Oregon,M
GH48715,High School or Below,5623,77912,71,1,Corporate Auto,Four-Door Car,23,Arizona,F
BN46866,College,5677,45345,72,0,Personal Auto,Four-Door Car,99,Oregon,M
CG94611,College,3016,25630,86,0,Corporate Auto,Two-Door Car,412,Oregon,M
GK94889,College,5279,22280,68,0,Personal Auto,Four-Door Car,169,California,M
QN62538,High School or Below,4803,0,69,0,Corporate Auto,Four-Door Car,496,Nevada,M
UQ13133,Master,2608,61567,65,0,Personal Auto,Four-Door Car,39,Nevada,M
DI65961,High School or Below,7832,34644,66,0,Personal Auto,Four-Door Car,316,Arizona,M
WQ85760,College,4260,26991,119,0,Corporate Auto,SUV,856,California,M
No35621,Bachelor,2369,49746,61,0,Personal Auto,Two-Door Car,624,Arizona,M
IA11644,High School or Below,20604,0,72,1,Special Auto,Two-Door Car,723,California,M
TV53243,College,2652,49625,66,0,Corporate Auto,Two-Door Car,261,Arizona,F
WV53081,College,2597,49308,65,0,Corporate Auto,Four-Door Car,150,Arizona,F
LL57541,Master,7712,63624,95,0,Personal Auto,Four-Door Car,175,California,F
RP27249,Master,4698,80358,116,0,Personal Auto,SUV,443,Oregon,F
OT85112,College,3403,38460,88,1,Personal Auto,Four-Door Car,91,Washington,M
GV47847,High School or Below,4355,0,64,0,Personal Auto,Two-Door Car,460,California,M
BB48165,Bachelor,11095,0,101,0,Personal Auto,SUV,727,California,F
HH80006,High School or Below,3300,0,92,0,Personal Auto,Four-Door Car,711,Oregon,F
TH70115,College,6981,34835,89,2,Personal Auto,Two-Door Car,294,California,M
WE64781,Bachelor,16922,93836,139,0,Corporate Auto,Luxury,497,Oregon,F
KN27565,Master,7639,34075,196,0,Special Auto,Luxury,451,Oregon,M
LE85123,Bachelor,19237,35624,66,2,Personal Auto,Four-Door Car,227,Oregon,M
QF76244,Doctor,2915,83218,72,0,Personal Auto,Four-Door Car,245,Oregon,F
PU73561,Bachelor,4196,24641,105,0,Personal Auto,SUV,504,Arizona,F
HM38744,Bachelor,16473,22828,106,0,Corporate Auto,SUV,508,Oregon,M
ST59524,College,2657,0,71,0,Personal Auto,Four-Door Car,340,Oregon,M
EZ77297,Master,3267,28729,90,3,Personal Auto,Four-Door Car,338,California,M
DR84843,Bachelor,2584,72731,65,0,Personal Auto,Four-Door Car,125,Arizona,M
MV54498,College,5503,59932,71,1,Personal Auto,Four-Door Car,116,California,F
EM85557,College,8021,54292,67,0,Personal Auto,Four-Door Car,321,Washington,F
FY73682,Bachelor,19606,0,194,0,Personal Auto,Luxury,931,California,M
XT54610,Bachelor,1904,0,63,3,Personal Auto,Four-Door Car,302,California,F
CE16324,College,7288,59414,91,0,Personal Auto,Two-Door Car,340,Nevada,F
KX75698,High School or Below,5553,96587,138,0,Personal Auto,SUV,749,Oregon,M
UV82770,Bachelor,11702,0,111,0,Personal Auto,SUV,532,California,M
MX95450,College,36897,0,133,0,Personal Auto,SUV,638,Oregon,F
XF96605,College,2957,94362,74,0,Personal Auto,Two-Door Car,195,California,M
WQ75856,Bachelor,19643,84488,61,0,Personal Auto,Four-Door Car,208,Oregon,F
JG35886,College,4111,65085,103,0,Personal Auto,Four-Door Car,480,California,F
XY66810,Bachelor,15122,0,72,0,Personal Auto,Two-Door Car,518,California,F
ON50913,College,12807,0,69,0,Special Auto,Four-Door Car,450,California,F
LS59408,High School or Below,2500,0,67,0,Personal Auto,Four-Door Car,664,Arizona,M
XQ14689,College,4260,0,62,0,Personal Auto,Four-Door Car,446,Nevada,M
QF55724,Bachelor,2609,60798,66,0,Personal Auto,Four-Door Car,316,California,M
FD79560,High School or Below,10796,30761,69,2,Special Auto,Two-Door Car,331,Arizona,F
KM18818,College,2590,25981,65,0,Personal Auto,Two-Door Car,77,Arizona,F
XA28126,Bachelor,29199,67739,149,0,Personal Auto,SUV,270,California,M
LJ93770,Doctor,4194,25581,105,0,Personal Auto,SUV,429,Arizona,F
MK52711,High School or Below,10314,99759,65,3,Personal Auto,Two-Door Car,74,California,F
AZ68184,High School or Below,9028,76514,112,0,Personal Auto,SUV,573,Washington,M
NN52789,Bachelor,3954,18375,103,0,Personal Auto,Luxury,535,Arizona,M
XC68458,Bachelor,6089,21832,84,0,Personal Auto,Four-Door Car,403,California,M
AF49027,College,12827,0,117,0,Personal Auto,Two-Door Car,842,Arizona,F
PR22184,College,9135,95330,113,0,Corporate Auto,Luxury,542,California,F
GM98732,College,7902,0,106,0,Personal Auto,SUV,634,California,F
NP66209,College,14827,0,68,2,Personal Auto,Two-Door Car,326,California,F
GA46608,Bachelor,2500,25899,63,0,Personal Auto,Four-Door Car,302,Oregon,M
FZ79470,Bachelor,5395,0,74,0,Personal Auto,Four-Door Car,355,Arizona,F
KR10942,Bachelor,2651,33201,66,0,Personal Auto,Two-Door Car,314,Oregon,F
AW86033,College,2119,18287,61,4,Personal Auto,Two-Door Car,292,California,M
LM79063,Doctor,7155,76506,89,0,Personal Auto,Two-Door Car,427,Arizona,F
NB30963,High School or Below,5994,41859,76,0,Personal Auto,Two-Door Car,166,California,M
AO40386,College,22647,27504,91,0,Personal Auto,Four-Door Car,436,Oregon,M
BN74259,High School or Below,2833,45360,73,0,Corporate Auto,Four-Door Car,350,Arizona,M
XV69290,College,22332,49078,97,0,Corporate Auto,Four-Door Car,484,California,M
RE97741,High School or Below,5846,0,90,2,Personal Auto,Four-Door Car,648,California,M
HN69035,College,2867,91810,71,0,Corporate Auto,Four-Door Car,165,Arizona,F
SI48717,College,14435,70600,122,1,Personal Auto,SUV,636,Oregon,M
PJ67250,College,5237,33554,131,0,Special Auto,SUV,934,Arizona,F
SH85263,Bachelor,7710,77642,64,0,Personal Auto,Two-Door Car,282,California,M
WV37081,College,5158,25963,66,0,Personal Auto,Four-Door Car,298,California,M
No61408,Bachelor,5414,57452,136,1,Personal Auto,SUV,652,California,F
DE91458,Master,2903,0,77,0,Personal Auto,Four-Door Car,491,Washington,F
EP83939,High School or Below,5575,91416,69,0,Personal Auto,Four-Door Car,109,Arizona,M
IU17657,Bachelor,2616,22000,69,0,Personal Auto,Two-Door Car,383,California,M
EO95166,Bachelor,4617,41167,118,0,Personal Auto,Four-Door Car,554,Oregon,M
KX79225,High School or Below,20123,0,70,0,Personal Auto,Four-Door Car,504,Oregon,M
EZ60033,Bachelor,3200,0,86,0,Corporate Auto,Four-Door Car,412,California,F
KK58047,College,8583,53944,71,0,Personal Auto,Two-Door Car,340,Oregon,M
JW62354,College,4349,75648,108,0,Personal Auto,SUV,112,Nevada,F
TT18939,Bachelor,4729,29414,64,0,Personal Auto,Four-Door Car,71,California,M
IJ21010,Bachelor,5015,48567,130,0,Personal Auto,SUV,624,Arizona,F
PZ31902,Bachelor,5797,69276,74,2,Personal Auto,Two-Door Car,201,Arizona,F
WD88540,High School or Below,3475,0,96,0,Personal Auto,Two-Door Car,460,California,M
IL67915,College,8542,50117,107,0,Corporate Auto,Four-Door Car,462,Arizona,F
VQ76590,Bachelor,16473,22828,106,0,Personal Auto,SUV,508,Arizona,M
FJ60600,High School or Below,6776,0,96,0,Personal Auto,Four-Door Car,818,Oregon,F
MP53132,High School or Below,9713,0,136,0,Corporate Auto,SUV,979,Oregon,F
XP96549,High School or Below,4429,20868,112,0,Personal Auto,SUV,537,Oregon,F
VC34797,Bachelor,2435,40921,62,2,Corporate Auto,Four-Door Car,10,California,F
QV30663,Master,9863,99654,121,0,Personal Auto,SUV,272,Nevada,F
AK90865,High School or Below,8207,0,110,0,Special Auto,Luxury,686,Oregon,F
BX51438,Bachelor,2781,56218,72,2,Personal Auto,Four-Door Car,302,Arizona,M
DU38713,High School or Below,5807,70717,72,0,Personal Auto,Two-Door Car,37,Arizona,F
WQ13284,College,8395,62989,71,1,Personal Auto,Four-Door Car,319,California,M
JB36584,Master,14333,41459,71,0,Personal Auto,Four-Door Car,340,Arizona,M
WQ23548,Master,11003,0,102,1,Personal Auto,SUV,489,California,F
WZ98067,College,4049,42512,105,1,Personal Auto,Four-Door Car,77,Oregon,M
AQ11656,Bachelor,2141,0,61,0,Personal Auto,Four-Door Car,437,Arizona,M
KL14426,Doctor,5079,83288,124,0,Personal Auto,SUV,353,Nevada,F
PG48617,High School or Below,2895,46267,72,0,Personal Auto,Four-Door Car,231,California,M
QB24570,Master,9031,0,122,0,Corporate Auto,Luxury,650,Oregon,F
NI68379,Master,6554,74424,81,0,Personal Auto,Four-Door Car,388,Oregon,M
RS92763,College,7487,0,72,0,Personal Auto,Four-Door Car,693,Oregon,F
PA75237,Doctor,15118,58883,62,0,Corporate Auto,Two-Door Car,432,Nevada,M
LR35392,High School or Below,9007,41539,116,0,Personal Auto,Four-Door Car,556,Oregon,M
KC22636,High School or Below,5488,33881,68,0,Personal Auto,Four-Door Car,65,California,F
IJ98317,Bachelor,7234,86448,90,0,Personal Auto,Four-Door Car,59,California,F
DY49235,College,5205,25237,69,0,Personal Auto,Four-Door Car,378,Arizona,F
EG94409,High School or Below,4697,0,67,0,Special Auto,Four-Door Car,482,Nevada,F
GB59748,College,6207,49419,77,0,Personal Auto,Four-Door Car,203,Arizona,F
MP68135,College,6615,90414,83,1,Personal Auto,Four-Door Car,398,Oregon,M
CZ56843,College,9708,39930,86,1,Personal Auto,Four-Door Car,412,California,M
DJ47372,Doctor,10831,23202,96,0,Personal Auto,Four-Door Car,460,California,M
XZ51937,Master,4626,79487,114,0,Personal Auto,SUV,547,California,F
IZ27630,Master,6748,68423,85,0,Personal Auto,Two-Door Car,324,Oregon,M
IM14119,Bachelor,2542,84495,63,0,Special Auto,Two-Door Car,302,Arizona,F
PN53766,Doctor,5450,43091,69,1,Corporate Auto,Four-Door Car,330,California,M
DQ93036,High School or Below,7243,41951,91,0,Personal Auto,Four-Door Car,40,Arizona,M
WA70405,College,8306,89834,105,0,Personal Auto,SUV,504,Nevada,M
NF51705,High School or Below,2734,92157,69,0,Corporate Auto,Two-Door Car,270,Nevada,M
LR37068,College,11030,35773,93,0,Personal Auto,Four-Door Car,446,Oregon,F
EC18611,High School or Below,3402,0,99,0,Personal Auto,Two-Door Car,475,Nevada,M
NP88319,High School or Below,6945,15850,61,0,Corporate Auto,Two-Door Car,314,Oregon,F
AA11235,Bachelor,2568,11167,73,3,Personal Auto,Two-Door Car,350,Nevada,F
DL55489,High School or Below,5764,21195,72,0,Corporate Auto,Four-Door Car,345,Oregon,M
UU53919,Master,5403,27430,68,0,Personal Auto,Two-Door Car,184,Oregon,F
JI11950,High School or Below,4899,0,63,0,Personal Auto,Two-Door Car,302,California,F
QB82117,High School or Below,9048,0,119,0,Personal Auto,Luxury,571,Oregon,M
MR33456,High School or Below,8093,59839,107,2,Personal Auto,SUV,513,Washington,M
YN17362,College,2496,0,73,0,Corporate Auto,Two-Door Car,350,California,M
UR73910,College,2602,38166,67,1,Corporate Auto,Four-Door Car,236,California,M
KG63751,High School or Below,6751,0,95,0,Personal Auto,Four-Door Car,456,Washington,M
NK39001,Bachelor,3621,13457,94,0,Personal Auto,Two-Door Car,285,Oregon,F
HR85493,College,6896,0,68,0,Personal Auto,Two-Door Car,326,California,M
QC50643,Bachelor,5438,52721,136,0,Personal Auto,SUV,550,California,F
LO90345,College,14472,22012,185,0,Corporate Auto,Luxury,75,Oregon,F
WK64739,Bachelor,2359,19864,63,0,Corporate Auto,Four-Door Car,352,Arizona,F
QK88438,College,5323,55289,67,0,Personal Auto,Four-Door Car,134,Arizona,F
QX42433,College,7390,30449,92,0,Personal Auto,Four-Door Car,501,California,M
BH52611,Bachelor,11447,27362,144,0,Personal Auto,SUV,422,California,F
SA77508,High School or Below,5754,29460,72,0,Personal Auto,Four-Door Car,29,Oregon,F
HD99234,College,10244,0,94,0,Personal Auto,Four-Door Car,451,Oregon,F
DE37110,Master,4645,42532,118,0,Personal Auto,Luxury,200,California,M
DJ93289,High School or Below,4887,66707,61,0,Personal Auto,Two-Door Car,71,California,F
AC40767,Bachelor,2497,68041,64,0,Personal Auto,Two-Door Car,165,Washington,M
GA79817,Bachelor,2369,0,65,0,Corporate Auto,Four-Door Car,468,Arizona,M
QH62059,Bachelor,4490,0,64,1,Personal Auto,Four-Door Car,307,California,M
ZS35053,High School or Below,3719,40968,97,1,Personal Auto,Four-Door Car,465,Arizona,M
II37804,Bachelor,4198,39913,106,0,Personal Auto,SUV,344,Nevada,M
GE63585,Bachelor,2420,31710,62,0,Corporate Auto,Two-Door Car,199,California,M
UV86903,Bachelor,4462,0,73,3,Personal Auto,Two-Door Car,350,California,F
JL71713,Bachelor,6291,89113,78,0,Personal Auto,Four-Door Car,219,California,F
DO60145,College,4270,0,122,0,Personal Auto,SUV,725,Arizona,M
FC59209,Bachelor,2460,0,67,0,Personal Auto,Four-Door Car,321,California,F
XQ74827,High School or Below,19435,38688,249,0,Special Auto,Luxury,2294,Arizona,F
EY13576,College,7374,0,110,4,Personal Auto,SUV,528,Oregon,F
US82810,Bachelor,18269,0,127,0,Corporate Auto,SUV,609,California,F
RC61383,High School or Below,11925,28014,104,0,Personal Auto,SUV,631,Oregon,M
PO80505,College,4223,14170,109,0,Personal Auto,SUV,523,Nevada,F
MD17521,High School or Below,10298,64825,129,0,Personal Auto,SUV,359,Oregon,M
YV93921,Bachelor,5229,77357,67,0,Personal Auto,Four-Door Car,29,California,M
JP64518,Bachelor,2402,21629,62,0,Corporate Auto,Two-Door Car,298,Nevada,M
OI98135,High School or Below,3933,25927,103,0,Personal Auto,SUV,674,Washington,M
XS97845,College,4299,44388,113,1,Personal Auto,Four-Door Car,496,Oregon,M
DL20327,College,7635,54539,63,0,Personal Auto,Four-Door Car,287,Oregon,F
GD86131,College,2722,17576,71,0,Corporate Auto,Four-Door Car,398,California,F
ID21061,Master,7291,84629,90,0,Personal Auto,Four-Door Car,411,Arizona,F
EN65835,Bachelor,58753,24964,185,0,Personal Auto,SUV,888,Arizona,F
BE65350,High School or Below,5261,43573,66,0,Personal Auto,Two-Door Car,409,Oregon,F
GI82721,College,16938,0,69,0,Corporate Auto,Four-Door Car,340,Arizona,F
YR84813,College,10575,0,105,0,Special Auto,Four-Door Car,756,Oregon,M
JZ28301,College,5552,35011,70,0,Personal Auto,Four-Door Car,215,Oregon,F
HL40930,Bachelor,7150,63651,92,0,Personal Auto,Four-Door Car,224,Oregon,M
HL33607,College,8717,83846,74,3,Personal Auto,Four-Door Car,355,Washington,M
WU21638,Bachelor,6847,0,191,0,Personal Auto,Luxury,1317,California,M
AG32304,College,5418,39133,67,0,Personal Auto,Four-Door Car,90,Nevada,F
JX26859,Doctor,3528,31278,92,4,Personal Auto,Two-Door Car,441,California,M
KC75958,High School or Below,16468,0,63,0,Personal Auto,Four-Door Car,685,California,F
ZV32968,High School or Below,7285,44788,61,0,Personal Auto,Four-Door Car,386,Oregon,M
GU45597,Bachelor,16963,0,117,0,Corporate Auto,SUV,561,Oregon,F
SO95845,College,5807,62447,74,0,Personal Auto,Two-Door Car,133,California,F
GL32197,College,5068,31475,64,1,Personal Auto,Four-Door Car,22,Oregon,M
SC11374,College,8797,80780,109,0,Corporate Auto,SUV,3,Nevada,F
RT29777,Bachelor,4439,88613,111,0,Personal Auto,SUV,359,Oregon,F
OB73235,College,2404,45949,62,0,Corporate Auto,Two-Door Car,110,California,M
MV41462,Bachelor,5066,35596,64,0,Personal Auto,Two-Door Car,307,Arizona,F
FM67585,High School or Below,5890,76875,73,0,Personal Auto,Four-Door Car,17,California,M
KG57925,Bachelor,2410,41842,61,0,Corporate Auto,Two-Door Car,292,California,M
IY24560,Bachelor,5288,28884,72,1,Corporate Auto,Four-Door Car,518,California,M
BV33510,High School or Below,26413,24631,83,1,Personal Auto,Four-Door Car,398,Arizona,F
XA77673,College,16236,0,74,2,Personal Auto,Four-Door Car,680,Nevada,F
XN90861,Bachelor,5534,71560,69,0,Personal Auto,Two-Door Car,178,Arizona,F
WS84995,Master,9202,0,80,0,Personal Auto,Four-Door Car,384,Nevada,M
ZZ49347,High School or Below,2592,72421,65,0,Personal Auto,Four-Door Car,312,Oregon,M
XX85323,Master,8019,54702,199,0,Personal Auto,SUV,955,Arizona,F
JO64487,High School or Below,6943,0,76,5,Special Auto,Four-Door Car,547,California,F
TO55363,High School or Below,13367,57335,67,0,Personal Auto,Two-Door Car,407,Oregon,F
UE67791,College,5885,0,67,3,Personal Auto,Two-Door Car,482,Arizona,M
JN69287,High School or Below,3479,35033,87,0,Personal Auto,Two-Door Car,490,California,M
AT55072,College,9103,65733,113,0,Personal Auto,Four-Door Car,684,Arizona,M
LV34368,Bachelor,4813,0,69,0,Special Auto,Four-Door Car,472,California,M
QU40939,College,9575,0,88,0,Personal Auto,Four-Door Car,633,Arizona,F
IP94270,Master,13736,16181,181,0,Personal Auto,SUV,1261,Arizona,F
KW33804,High School or Below,8090,86180,69,4,Personal Auto,Four-Door Car,48,Nevada,M
IA42992,High School or Below,8267,36881,104,0,Special Auto,SUV,499,Arizona,M
CZ19025,High School or Below,2489,47888,64,1,Personal Auto,Four-Door Car,545,Oregon,F
